SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49427,FUTSTK,0,HINDPETRO-Jan2026-FUT,2025,HINDPETRO JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49428,FUTSTK,0,HINDUNILVR-Jan2026-FUT,300,HINDUNILVR JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49429,FUTSTK,0,HINDZINC-Jan2026-FUT,1225,HINDZINC JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49430,FUTSTK,0,HUDCO-Jan2026-FUT,2775,HUDCO JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49431,FUTSTK,0,ICICIBANK-Jan2026-FUT,700,ICICIBANK JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49432,FUTSTK,0,ICICIGI-Jan2026-FUT,325,ICICIGI JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49435,FUTSTK,0,ICICIPRULI-Jan2026-FUT,925,ICICIPRULI JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49436,FUTSTK,0,IDEA-Jan2026-FUT,71475,IDEA JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49437,FUTSTK,0,IDFCFIRSTB-Jan2026-FUT,9275,IDFCFIRSTB JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49438,FUTSTK,0,IEX-Jan2026-FUT,3750,IEX JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49442,FUTSTK,0,IIFL-Jan2026-FUT,1650,IIFL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49443,FUTSTK,0,INDHOTEL-Jan2026-FUT,1000,INDHOTEL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49447,FUTSTK,0,INDIANB-Jan2026-FUT,1000,INDIANB JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49448,FUTSTK,0,INDIGO-Jan2026-FUT,150,INDIGO JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49449,FUTSTK,0,INDUSINDBK-Jan2026-FUT,700,INDUSINDBK JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49450,FUTSTK,0,INDUSTOWER-Jan2026-FUT,1700,INDUSTOWER JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49481,FUTSTK,0,INFY-Jan2026-FUT,400,INFY JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49482,FUTSTK,0,INOXWIND-Jan2026-FUT,3575,INOXWIND JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49485,FUTSTK,0,IOC-Jan2026-FUT,4875,IOC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49486,FUTSTK,0,IRCTC-Jan2026-FUT,875,IRCTC JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49488,FUTSTK,0,IREDA-Jan2026-FUT,3450,IREDA JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49492,FUTSTK,0,IRFC-Jan2026-FUT,4250,IRFC JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49493,FUTSTK,0,ITC-Jan2026-FUT,1600,ITC JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49494,FUTSTK,0,JINDALSTEL-Jan2026-FUT,625,JINDALSTEL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49495,FUTSTK,0,JIOFIN-Jan2026-FUT,2350,JIOFIN JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49496,FUTSTK,0,JSWENERGY-Jan2026-FUT,1000,JSWENERGY JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49497,FUTSTK,0,JSWSTEEL-Jan2026-FUT,675,JSWSTEEL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49498,FUTSTK,0,JUBLFOOD-Jan2026-FUT,1250,JUBLFOOD JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49503,FUTSTK,0,KALYANKJIL-Jan2026-FUT,1175,KALYANKJIL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49509,FUTSTK,0,KAYNES-Jan2026-FUT,100,KAYNES JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
